Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max GC,Max GC Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min GC,Min GC Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Mean GC,Mean GC Excluding Ambiguous,Mean GC 1,Mean GC 1 Excluding Ambiguous,Mean GC 2,Mean GC 2 Excluding Ambiguous,Mean GC 3,Mean GC 3 Excluding Ambiguous,Var GC,Var GC Excluding Ambiguous,Var GC 1,Var GC 1 Excluding Ambiguous,Var GC 2,Var GC 2 Excluding Ambiguous,Var GC 3,Var GC 3 Excluding Ambiguous,Theta,Tajima-D,Tajima-Pi,Segregating-Sites
32,36,0.5118317,0.5122807,2,2,537,537,127,87,0.4750219,0.4754386,165,165,31,35,0.4957131,0.4974655,0.5126098,0.5150969,0.4860412,0.4874386,0.4884439,0.4898472,9.858038e-05,8.526984e-05,0.0004305156,0.0003447515,0.0002949098,0.0003164161,0.0002982493,0.0003189768,0.2633442,1109,1.103469,0.3345065
57,63,0.5284838,0.5289474,2,2,488,488,75,66,0.4837862,0.4925504,151,151,54,60,0.5049346,0.5067169,0.520598,0.5231949,0.4877574,0.4890908,0.5064073,0.50786,0.0001021113,8.560853e-05,0.0002596544,0.0002436593,0.0002817985,0.000234631,0.0001679842,0.000187698,0.2574077,1084,0.8591962,0.3115705
58,58,0.4829097,0.4833333,2,2,514,514,72,72,0.4364592,0.4574934,156,156,56,56,0.4696872,0.471306,0.4755221,0.4778463,0.4712815,0.4725247,0.4622426,0.4635491,0.0001125583,6.200511e-05,0.0003692779,0.0003117377,0.0003329848,0.0002496597,0.0002138055,0.0002112723,0.2571703,1083,0.7753687,0.3060037
52,56,0.514461,0.5149123,1,1,469,474,97,97,0.4706398,0.4807018,149,149,52,56,0.4962085,0.4979475,0.5015406,0.5040393,0.5135011,0.5148939,0.4735698,0.4749089,0.0001126099,8.418047e-05,0.0001959661,0.0001777061,0.0003263059,0.0002630633,0.0001665061,0.0001644155,0.258595,1089,0.8018316,0.3093743
54,57,0.5276074,0.5280702,2,2,484,484,91,79,0.485539,0.4964912,157,157,50,53,0.5089738,0.5107649,0.5145498,0.5170954,0.5045767,0.5060116,0.5077803,0.5091835,0.0001044794,8.200993e-05,0.0002376535,0.0001996945,0.0002343348,0.0002405308,0.0003251563,0.0002893294,0.2581201,1087,0.7006123,0.3024079
38,39,0.5276074,0.5280702,1,1,501,501,125,96,0.4785276,0.4938596,153,153,38,39,0.5098884,0.5116606,0.5324661,0.5351141,0.5019451,0.5033022,0.4951945,0.496564,0.0001140976,6.931207e-05,0.0002481911,0.0002224804,0.0003709503,0.0003067542,0.0003831857,0.0003498248,0.2619195,1103,0.9659218,0.3238751
41,43,0.5337423,0.5337423,2,2,483,483,113,95,0.479404,0.4947368,180,180,40,42,0.5120985,0.5138712,0.446993,0.4492102,0.5628146,0.5642706,0.526659,0.5281624,0.000146811,9.409694e-05,0.0005006571,0.0004783308,0.0003961876,0.0002480629,0.0002633495,0.0002764503,0.2612071,1100,0.7931787,0.3119447
50,55,0.4890447,0.4890447,2,2,504,504,106,106,0.4469763,0.454386,148,148,48,52,0.4716305,0.4732805,0.4625128,0.4648203,0.4552632,0.4565252,0.4971396,0.4985017,0.0001298334,0.0001013432,0.0002742764,0.000261598,0.00031793,0.0002924842,0.000261844,0.0002157343,0.2590699,1091,0.9482174,0.3192297
45,50,0.5267309,0.5267309,2,2,517,517,100,84,0.4697634,0.4982456,165,165,44,49,0.5114126,0.5131576,0.5140933,0.5165929,0.5231121,0.5245934,0.4970252,0.4982829,0.0001379032,6.068113e-05,0.000264474,0.0001824658,0.0003468626,0.0003465112,0.0004855857,0.0003468036,0.2602573,1096,0.7928168,0.3107876
46,53,0.5074496,0.5078947,1,1,524,524,114,77,0.4609991,0.4706398,164,164,46,53,0.4856533,0.4873568,0.4991441,0.5016561,0.4627002,0.4639469,0.4950801,0.4964566,0.0001189401,9.313076e-05,0.0003417222,0.000350219,0.0002566433,0.0001979986,0.0002841251,0.0002580695,0.2600198,1095,0.8975845,0.3171755
50,55,0.5311131,0.532102,2,2,466,467,128,92,0.4846626,0.4850877,165,165,48,53,0.5080212,0.5098193,0.4903572,0.4927691,0.519222,0.5206629,0.5145309,0.5160231,0.0001437507,0.0001323583,0.0003266919,0.0002780409,0.0003257585,0.0002945488,0.0001667524,0.0002053026,0.2590699,1091,0.8405455,0.3123985
49,51,0.5232252,0.5232252,2,2,485,485,213,147,0.4715162,0.4885965,143,143,47,49,0.5010479,0.50279,0.4841949,0.4866524,0.5084668,0.5097963,0.5105263,0.5119311,0.0001350797,9.217681e-05,0.00024604,0.0002756369,0.000463332,0.0003558626,0.000180685,0.0001380388,0.2593074,1092,0.665295,0.3015557
52,56,0.5056968,0.5056968,2,2,517,517,81,81,0.4425942,0.4587719,163,163,51,55,0.4783371,0.4799774,0.4838526,0.4862159,0.4715103,0.4727824,0.4796339,0.4809278,0.0002579454,0.0001976818,0.0005358368,0.0004733038,0.0005122464,0.0004531331,0.0004792353,0.0004177919,0.258595,1089,1.093604,0.3278519
42,44,0.5100789,0.5105263,2,2,493,493,124,107,0.4522349,0.4758983,160,160,41,43,0.4885112,0.4901913,0.5197992,0.5223652,0.4913043,0.492637,0.4543478,0.4555653,0.0001330061,7.496046e-05,0.0003848255,0.0003413733,0.0002905029,0.0002327712,0.0002100281,0.0001479465,0.2609696,1099,0.9932901,0.3244502
56,60,0.5109553,0.5114035,2,2,487,487,87,87,0.462752,0.4798246,143,143,54,58,0.4908357,0.4925462,0.5000571,0.5026055,0.4686499,0.4698624,0.5037757,0.5051676,9.835267e-05,6.101105e-05,0.000200949,0.0002432679,0.0003581674,0.0002561219,0.0003348187,0.0002989338,0.2576452,1085,0.7964469,0.3078986
53,59,0.5267309,0.5267309,2,2,462,465,92,92,0.4697634,0.4859649,153,153,51,57,0.4995999,0.5013335,0.5014265,0.5039349,0.5019451,0.5033207,0.4954233,0.4967453,0.0001656679,0.0001194998,0.0002595728,0.0002514861,0.0005050475,0.0004583149,0.0003023277,0.0002230292,0.2583576,1088,0.6524162,0.2996366
45,49,0.5232252,0.5236842,3,3,504,504,115,91,0.4837862,0.504386,148,148,43,47,0.5119079,0.5136954,0.5001712,0.502645,0.533524,0.5350307,0.5020595,0.5034198,6.954364e-05,3.247413e-05,0.0001345378,9.785465e-05,0.0002488148,0.0002439216,0.0004047825,0.000342835,0.2602573,1096,0.8745076,0.3159942
49,54,0.5179667,0.5184211,2,2,485,485,128,87,0.4653812,0.4688869,178,178,48,53,0.493846,0.4955691,0.4774621,0.479718,0.505492,0.5069373,0.498627,0.5000475,0.0001628322,0.0001273031,0.0003600473,0.0002355824,0.0002687692,0.000283293,0.0003644356,0.0003730558,0.2593074,1092,0.7731413,0.3084043
48,51,0.5267309,0.527193,2,2,546,546,99,99,0.4750219,0.477193,165,165,46,48,0.4999428,0.5016973,0.511811,0.5143252,0.5060641,0.5074525,0.4819222,0.4833114,0.0001712785,0.0001449528,0.0003532128,0.000298554,0.0004831496,0.0004376893,0.0001399549,0.0001648321,0.2595449,1093,1.090635,0.3288669
53,59,0.5127082,0.5131579,2,2,488,488,142,142,0.4671341,0.4675439,162,162,51,57,0.4959799,0.4977254,0.5252767,0.5278745,0.4899314,0.4912427,0.4726545,0.4740457,0.0001211473,0.0001000148,0.0004974441,0.0004583032,0.000356744,0.0002834529,0.0003744265,0.0004284479,0.2583576,1088,0.8127259,0.3097796
52,55,0.5547765,0.5547765,2,2,512,513,86,86,0.5039439,0.5052632,160,160,51,54,0.5277598,0.5296139,0.5061052,0.5085996,0.5191076,0.5205909,0.5581236,0.5596668,0.0001866985,0.0001592519,0.0002546716,0.0002085493,0.0001770444,0.0001913946,0.0005772558,0.0005345156,0.258595,1089,0.9331673,0.3176916
49,52,0.5092025,0.5096491,2,2,528,528,102,102,0.4609991,0.4631579,147,147,48,51,0.491674,0.4933814,0.4913842,0.4937925,0.4754005,0.4767469,0.508238,0.509601,0.0001368649,9.372703e-05,0.0001339932,7.700292e-05,0.0003869357,0.000386983,0.0002557947,0.0001790227,0.2593074,1092,0.9815787,0.3216407
45,48,0.5021911,0.5026316,2,2,492,492,152,152,0.4706398,0.4741455,156,156,44,47,0.4868727,0.4886035,0.5113546,0.5139094,0.4656751,0.4670176,0.483524,0.4848766,7.338121e-05,7.036482e-05,0.0002164695,0.0002048454,0.000185393,0.0002088465,0.0001896357,0.0001727973,0.2602573,1096,0.8822255,0.3164861
46,50,0.5354952,0.5373791,3,3,502,502,98,74,0.4969325,0.5039439,155,155,43,47,0.5146134,0.5164436,0.5571151,0.5598999,0.5144165,0.5158418,0.4721968,0.4735641,9.745704e-05,9.497243e-05,0.000355854,0.0003442863,0.0003033679,0.0002703151,0.0003045997,0.0003348405,0.2600198,1095,0.9611797,0.3212251
67,68,0.4907975,0.4907975,2,2,504,504,88,88,0.4303243,0.4464912,159,159,63,64,0.4724307,0.4740325,0.4807714,0.48309,0.4775744,0.4788127,0.4589245,0.4601903,0.0001775388,0.0001026572,0.0003135404,0.0002249664,0.0004758685,0.0003727908,0.0001641521,0.0001324256,0.2550331,1074,0.9939934,0.3171166
64,69,0.5170903,0.5175439,2,2,488,488,80,49,0.4539877,0.4841121,137,137,63,68,0.502153,0.5038487,0.4806573,0.482997,0.5050343,0.506382,0.5208238,0.5221745,0.0001811699,9.086015e-05,0.0002124941,0.0001440578,0.0003140979,0.0002319535,0.00035439,0.0002309779,0.2557455,1077,0.8599477,0.3096064
55,61,0.5162138,0.5166667,2,2,529,529,120,65,0.4688869,0.4692982,163,163,50,56,0.4930458,0.4947765,0.490129,0.4925361,0.4922197,0.4936761,0.4967963,0.4981204,0.0001497711,0.0001245548,0.0004122178,0.0003623387,0.0002313512,0.0002985317,0.0003858956,0.0003048509,0.2578826,1086,0.8864638,0.3138672
55,59,0.4951797,0.495614,2,2,537,537,96,62,0.4478528,0.4587719,143,143,53,57,0.4766223,0.4782772,0.4760927,0.4784693,0.4787185,0.4799956,0.4750572,0.4763721,0.0001148445,7.386069e-05,0.0002960594,0.0002847191,0.0004053847,0.000331165,0.0003159592,0.0002862311,0.2578826,1086,0.8711603,0.3129008
60,63,0.5188431,0.5192982,2,2,473,473,82,82,0.4750219,0.4859649,160,160,54,57,0.5033723,0.5051262,0.5089581,0.5114849,0.4948513,0.4962195,0.5062929,0.5076783,0.0001258046,8.615713e-05,0.0001640267,0.0001356298,0.0003031215,0.0002694948,0.0003826109,0.0003330709,0.2566953,1081,1.000199,0.3195727
56,61,0.5363716,0.5368421,2,2,471,479,91,83,0.4925504,0.5052632,154,154,54,59,0.5194909,0.5213108,0.5116969,0.5142416,0.5240275,0.5254291,0.5227689,0.5242578,0.0001285006,9.659518e-05,0.0003203204,0.0002967036,0.0002904208,0.0002052329,0.0005525111,0.0005616611,0.2576452,1085,0.9964536,0.3205184
59,64,0.5328659,0.5333333,3,3,458,458,88,70,0.4758983,0.4824561,164,164,53,58,0.5002858,0.502041,0.4973183,0.4998127,0.489016,0.4903256,0.5145309,0.5159876,0.000119104,9.20927e-05,0.0001627469,0.0001617055,0.0003573736,0.000284657,0.0002989609,0.0002984903,0.2569328,1082,0.8805505,0.3123396
44,50,0.5346188,0.5346188,1,2,485,501,92,81,0.4881683,0.4964912,164,164,44,49,0.5137751,0.515575,0.5166039,0.5191326,0.5076659,0.5091392,0.5170481,0.5184512,0.0001321135,0.0001008153,0.0002759645,0.0002101685,0.000202665,0.00024124,0.0003178479,0.0002548302,0.2604947,1097,0.8914392,0.3173626
40,43,0.5039439,0.504386,2,2,504,504,127,127,0.4443471,0.4697634,168,168,37,40,0.4865678,0.488221,0.4555518,0.4577371,0.4885584,0.4898585,0.5156751,0.5170802,0.0001498288,7.357743e-05,0.0002723159,0.0001843768,0.0003019445,0.00022173,0.0002370173,0.0001795382,0.2614446,1101,0.9427353,0.3218036
39,43,0.5249781,0.5254386,2,2,470,481,80,68,0.4723926,0.4859649,153,153,38,42,0.5086309,0.5103814,0.5388566,0.5415636,0.495881,0.4971826,0.4910755,0.4923842,0.0001302038,6.821975e-05,0.0002138283,0.0002171613,0.0004166621,0.000318008,0.0003473553,0.0002680805,0.261682,1102,0.7933047,0.3125197
47,53,0.5039439,0.504386,1,1,452,494,121,101,0.4688869,0.4688869,167,167,47,53,0.4910262,0.4927569,0.503937,0.5064905,0.4858124,0.487043,0.4832952,0.4847354,0.0001021751,8.408249e-05,0.0002511318,0.0002774791,0.0004077935,0.0002771981,0.0003718262,0.0004479694,0.2597823,1094,0.91907,0.3182528
53,56,0.5197195,0.5201754,2,2,458,469,95,95,0.4758983,0.4807018,152,152,51,54,0.5022673,0.5040247,0.4959489,0.4983735,0.5051487,0.5065864,0.5057208,0.5071118,0.0001251276,9.322124e-05,0.0003115527,0.0002484361,0.0002470903,0.0002544254,0.0002755302,0.0002330536,0.2583576,1088,0.8035825,0.3092011
63,69,0.5004382,0.5008772,3,3,458,473,119,75,0.4347064,0.4614035,162,162,59,63,0.4762032,0.4778226,0.4895584,0.4919363,0.4680778,0.469334,0.4709382,0.4721935,0.0001697969,9.83433e-05,0.0002604441,0.0001852419,0.000214873,0.0001506431,0.0002691251,0.0001964849,0.255983,1078,0.7899944,0.3055083
32,34,0.5100789,0.5105263,1,1,489,490,175,146,0.4680105,0.4802805,173,173,32,34,0.4918264,0.4935522,0.4702727,0.4726374,0.5193364,0.5207737,0.4859268,0.4872585,8.928704e-05,6.336318e-05,0.0002102068,0.0002152547,0.0002383585,0.000202725,0.0002666889,0.0002229826,0.2633442,1109,1.013978,0.3287353
51,59,0.5188431,0.5192982,2,2,504,504,87,87,0.4592463,0.4850877,153,153,47,53,0.4925123,0.4942145,0.4933242,0.4957294,0.482151,0.4834576,0.5020595,0.5034673,0.000123142,7.203766e-05,0.0006428463,0.0005772805,0.0004224103,0.0003654889,0.0001976558,0.0001830221,0.2588325,1090,0.7531939,0.3065753
54,63,0.4951797,0.495614,2,2,527,527,111,97,0.456617,0.472807,133,133,51,58,0.4834813,0.4851686,0.4674198,0.4697378,0.4853547,0.4866124,0.4977117,0.4991592,8.432615e-05,5.040489e-05,0.0002523299,0.0002264885,0.0002989336,0.0001908414,0.0003489703,0.0003897924,0.2581201,1087,0.91313,0.3158418
63,72,0.5267309,0.527193,2,2,498,498,85,82,0.4785276,0.4846626,151,151,57,66,0.5075639,0.5093332,0.5066758,0.5091919,0.470595,0.4718257,0.5454233,0.5469813,0.0001667032,0.000127352,0.0003697952,0.0003434509,0.0005248377,0.0004320987,0.0001449367,0.0001601445,0.255983,1078,0.9258723,0.3140266
56,62,0.5170903,0.5170903,3,3,464,465,105,105,0.4697634,0.4833333,164,164,54,60,0.4978852,0.4996217,0.4865913,0.4889671,0.5165904,0.5180443,0.4905034,0.4918572,0.0001145135,7.757663e-05,0.0002847867,0.0002211755,0.0001633309,0.0001534549,0.0002094807,0.000174123,0.2576452,1085,0.7790431,0.3068004
47,51,0.5048203,0.5052632,2,2,525,525,109,84,0.4609991,0.4705365,166,166,46,50,0.4843196,0.4860179,0.4993724,0.501813,0.4754005,0.4767153,0.4781465,0.4795111,0.0001169454,9.070878e-05,0.0002781973,0.0002128544,0.0001835864,0.0001529147,0.0002785412,0.0002891518,0.2597823,1094,0.9313214,0.3190323
48,52,0.5214724,0.5214724,2,2,521,521,101,101,0.4653812,0.4815789,174,174,46,49,0.497123,0.4988449,0.4716421,0.4739561,0.4893593,0.4906965,0.5304348,0.5318975,0.0001643745,0.0001156966,0.0003240507,0.0002748268,0.0002999737,0.0002518604,0.0003278935,0.0002853074,0.2595449,1093,0.8433655,0.3131502
59,65,0.5135846,0.5140351,1,2,510,510,121,87,0.462752,0.4833333,132,132,59,64,0.4968944,0.4986082,0.4873902,0.489814,0.5098398,0.5112093,0.4934783,0.4948109,0.0001207678,6.511444e-05,0.0001962929,0.000174481,0.0002242618,0.0001489652,0.0003915069,0.0003277179,0.2569328,1082,0.7183077,0.3021308
47,50,0.5337423,0.5342105,1,1,499,499,99,69,0.4802805,0.4964912,158,158,47,50,0.511946,0.5137236,0.5136369,0.5161797,0.5345538,0.5360082,0.487643,0.488975,0.0001248057,7.772062e-05,0.0002294849,0.0001928799,0.0003395268,0.000275711,0.0003522002,0.0003040301,0.2597823,1094,0.7943773,0.31032
50,55,0.5153374,0.5153374,3,3,492,492,91,64,0.4802805,0.4872918,154,154,46,51,0.5004001,0.5021686,0.5066758,0.5092179,0.4955378,0.4969302,0.4989703,0.5003554,8.571362e-05,7.170889e-05,0.0002301384,0.0002298992,0.0001387779,0.0001275179,0.0003070632,0.0002784074,0.2590699,1091,0.9024623,0.3163268
52,54,0.5118317,0.5122807,2,2,487,488,107,107,0.4723926,0.4754386,156,156,51,53,0.4919407,0.4936801,0.4827114,0.4850978,0.4898169,0.4912782,0.5033181,0.5046722,9.157622e-05,7.890243e-05,0.0002398046,0.000205161,0.000346452,0.0004262603,0.0004118719,0.000340545,0.258595,1089,0.9089898,0.3161605
44,47,0.5013146,0.5017544,1,1,497,498,74,73,0.4574934,0.4596491,164,164,44,47,0.4802042,0.4818913,0.4958348,0.4982799,0.4923341,0.4937042,0.4524027,0.4536863,0.0001635335,0.0001409654,0.0001352185,9.208824e-05,0.0002769536,0.0002524307,0.0006930956,0.0006952027,0.2604947,1097,0.9406371,0.3205011
67,70,0.5135846,0.5135846,2,2,485,485,76,68,0.4531113,0.4780702,147,147,64,67,0.4957131,0.4974001,0.5203697,0.522909,0.4736842,0.4749526,0.4930206,0.4943299,0.0001683396,9.193351e-05,0.000263167,0.0001885188,0.000469655,0.0004023326,0.0002528385,0.0001688481,0.2550331,1074,0.9332062,0.3133199
49,53,0.5328659,0.5347405,3,3,497,497,115,80,0.462752,0.4934579,157,157,47,51,0.5095454,0.5112746,0.5289284,0.5314791,0.4926773,0.4939675,0.5069794,0.5083722,0.0001807691,9.603819e-05,0.0004364242,0.0003330689,0.0003972277,0.0002979263,0.0002421359,0.0001978858,0.2593074,1092,0.9723597,0.3210553
38,40,0.5258545,0.5327103,2,2,516,516,106,102,0.4837862,0.4842105,157,157,36,38,0.5087833,0.5106132,0.5200274,0.5225744,0.5080092,0.5095524,0.4982838,0.4997095,8.134171e-05,0.0001008214,0.0002688578,0.0002045593,0.0003484502,0.000467417,0.0002471724,0.0002625544,0.2619195,1103,1.082524,0.3313542
61,62,0.5021911,0.5026316,2,2,498,498,75,75,0.4618755,0.4635004,164,164,57,58,0.4840148,0.4857143,0.4836243,0.485988,0.4878719,0.4892654,0.4805492,0.4818821,0.0001387655,0.0001148919,0.0004591876,0.0003987833,0.0005274107,0.0005398634,0.0001994077,0.0001719732,0.2564579,1080,0.9033626,0.3131952
56,63,0.5328659,0.5347405,2,2,536,536,80,69,0.4741455,0.4877193,168,168,55,62,0.5058492,0.5076083,0.5048499,0.5073204,0.5089245,0.5103627,0.5037757,0.5051445,0.0001616998,0.0001189168,0.0003636143,0.0003017168,0.0002875467,0.0002841985,0.0005457228,0.0004884086,0.2576452,1085,1.168625,0.3313819
42,46,0.5276074,0.5280702,2,2,462,463,147,147,0.4785276,0.4877193,162,162,40,43,0.5045917,0.5063578,0.5093005,0.5118123,0.5250572,0.5265771,0.479405,0.4806757,0.0001529408,0.0001212775,0.000392967,0.0003487146,0.0002221541,0.0002589869,0.0002824554,0.0002008245,0.2609696,1099,0.7912727,0.3115394
51,54,0.5258545,0.5263158,2,2,529,529,130,80,0.4829097,0.4912281,135,135,47,50,0.5066494,0.5084309,0.4962912,0.4988164,0.5080092,0.5093893,0.5156751,0.5170909,0.0001268733,0.0001032973,9.576392e-05,0.0001327234,0.0002710138,0.0002116715,0.000322638,0.0002759715,0.2588325,1090,0.9104776,0.316545
50,58,0.5135846,0.5140351,2,2,496,496,82,82,0.4697634,0.4811569,153,153,47,55,0.4980757,0.4998131,0.4920689,0.4945518,0.4940503,0.4954333,0.5081236,0.5094666,0.00013906,0.0001024259,0.0004151313,0.0004300407,0.0002116705,0.0001950398,0.0003972004,0.0003025509,0.2590699,1091,0.8709579,0.314328
50,55,0.5048203,0.5052632,2,2,497,497,70,66,0.4531113,0.4745614,163,163,48,53,0.4896925,0.4913738,0.5031382,0.5055827,0.4914188,0.4927714,0.4744851,0.4757631,0.000122216,6.115359e-05,0.0002470203,0.0001677687,0.0002261505,0.0001869843,0.0002508403,0.0001888054,0.2590699,1091,0.8478073,0.3128592
51,57,0.5048203,0.5065963,2,2,467,467,82,82,0.4583699,0.4767748,174,174,50,56,0.4904546,0.4921537,0.4976606,0.5000915,0.491762,0.4931468,0.4819222,0.4832112,0.0001169454,7.01369e-05,0.0002209078,0.0001541731,0.0002205391,0.0002124303,0.000336379,0.0002647299,0.2588325,1090,0.7076701,0.3036896
59,67,0.5188431,0.5188431,2,2,464,465,134,70,0.4750219,0.4842105,167,167,58,66,0.4981138,0.4998622,0.5091864,0.5116637,0.489016,0.4904196,0.4961098,0.497487,0.0001235002,9.738358e-05,0.0004772131,0.0003974322,0.0001747999,0.0001941398,0.0001176464,8.926303e-05,0.2569328,1082,0.992089,0.3193579
41,47,0.5109553,0.5114035,2,2,500,500,139,139,0.4680105,0.4684211,138,138,40,45,0.4946081,0.4963622,0.4983453,0.5008309,0.5094966,0.5109545,0.4759725,0.4772954,0.0001077887,0.0001003438,0.0002294032,0.0002139998,0.000222072,0.0002381466,0.000229353,0.0002047141,0.2612071,1100,0.8565396,0.3159977
40,41,0.4864154,0.4864154,2,2,517,517,102,102,0.4399649,0.45,160,160,39,40,0.4655718,0.4671928,0.4645669,0.466858,0.4668192,0.4681381,0.4653318,0.4665782,0.0001714272,0.0001364461,0.0006287689,0.0005920941,0.0003612057,0.0003581357,0.0003838153,0.0003180281,0.2614446,1101,0.9480918,0.3221465
37,42,0.5135846,0.5140351,1,1,481,481,118,118,0.4662577,0.4666667,172,172,37,42,0.4903403,0.492073,0.4683328,0.470703,0.4762014,0.4774926,0.5265446,0.5280323,0.0001223314,0.0001087442,0.0002128208,0.0002332988,0.0003377476,0.0002829293,0.0003713882,0.0003675487,0.2621569,1104,0.8452306,0.3164203
48,53,0.537248,0.5377193,2,2,505,505,97,73,0.4723926,0.5037383,157,157,45,49,0.5182334,0.5199932,0.5575716,0.5602682,0.5106407,0.5120126,0.4863844,0.4876817,0.000177047,8.982561e-05,0.000253528,0.0001423826,0.0002433129,0.0001683003,0.0004555856,0.0003794266,0.2595449,1093,0.9803802,0.321859
54,56,0.5013146,0.5017544,2,2,497,497,85,68,0.4539877,0.4555849,161,161,50,52,0.4749457,0.4766391,0.4681045,0.4704649,0.458238,0.4595256,0.4985126,0.4999233,0.0001446099,0.0001468423,0.000237109,0.0002486371,0.0004509597,0.0004413738,0.0002026102,0.0002014545,0.2581201,1087,0.827257,0.3104135
52,56,0.5188431,0.5192982,2,2,480,480,94,94,0.4688869,0.4842105,154,154,51,55,0.4968944,0.4986253,0.4948077,0.4972621,0.4916476,0.4930128,0.5042334,0.5056111,0.0001291473,9.017728e-05,0.0002823633,0.0002540183,0.0002427929,0.0002154223,0.0004191256,0.0003679898,0.258595,1089,0.8096538,0.3098696
